fecha_muestra,lugar,ph,salinidad,temperatura,conductividad,solidostotalesdisueltosstd
2024-07-04T22:50:00Z,Vicente Guerrero,5.24,0.26,29.7,520.0,259.0
2024-06-19T13:14:00Z,Vicente Guerrero,5.72,0.32,30.7,672.0,335.0
2024-06-04T19:00:00Z,Vicente Guerrero,4.16,0.57,37.0,1131.0,562.0
2024-05-19T14:17:00Z,Vicente Guerrero,05.04,0.53,33.0,1073.0,532.0
2024-05-02T16:14:00Z,Patricio,5.64,0.37,35.5,747.0,373.0
2024-05-09T14:20:00Z,Remolino 1ra seccion,6.24,0.49,32.0,975.0,479.0
2024-05-04T23:00:00Z,Vicente Guerrero,05.02,0.51,33.9,1025.0,513.0
2024-04-20T21:00:00Z,Remolino 1ra seccion,5.66,0.49,33.0,1000.0,
2024-04-17T15:11:00Z,Patricio,5.73,0.34,30.4,579.0,343.0
2024-04-02T14:32:00Z,Patricio,5.75,0.26,28.6,546.0,256.0
2024-03-17T16:17:00Z,Patricio,0.0,0.0,0.0,0.0,0.0
2024-03-17T16:12:00Z,Patricio,5.54,0.21,29.5,438.0,222.0
2024-04-19T14:20:00Z,Vicente Guerrero,4.98,0.52,31.5,1033.0,519.0
2024-04-04T21:46:00Z,Remolino 1ra seccion,6.26,0.51,31.0,1.015,
2024-03-02T11:42:00Z,Patricio,5.71,0.21,30.0,434.0,218.0
2024-03-16T16:16:00Z,Remolino 1ra seccion,6.44,0.44,26.2,8.78,
2024-04-04T18:48:00Z,Vicente Guerrero,06.08,0.49,28.5,984.0,492.0
2024-03-20T21:45:00Z,Vicente Guerrero,4.85,0.8,32.3,1567.0,797.0
2024-03-08T07:54:00Z,Remolino 1ra seccion,0.44,0.44,29.9,8.56,439.0
2024-03-04T10:04:00Z,Vicente Guerrero,4.65,0.48,30.4,962.0,470.0
2024-02-17T11:06:00Z,Patricio,06.01,0.2,28.4,456.0,250.0
2024-02-19T09:25:00Z,Vicente Guerrero,6.65,0.37,23.4,7.51,374.0
2024-02-02T16:20:00Z,Patricio,5.27,0.29,29.0,556.0,309.0
2024-02-04T01:53:00Z,Vicente Guerrero,5.71,0.34,230.0,683.0,341.0
2024-01-17T09:15:00Z,Patricio,6.17,0.32,25.9,655.0,325.0
2024-01-19T10:50:00Z,Vicente Guerrero,6.57,0.37,26.0,739.0,368.0
2024-01-17T07:53:00Z,Remolino 1ra seccion,6.66,0.45,27.0,920.0,473.0
2024-01-02T10:34:00Z,Patricio,5.73,0.18,26.0,353.0,176.0
2024-01-04T11:40:00Z,Vicente Guerrero,4.69,0.33,24.6,679.0,337.0
2024-01-04T08:17:00Z,Remolino 1ra seccion,6.55,0.28,25.0,566.0,273.0
2023-12-16T08:48:00Z,Remolino 1ra seccion,6.72,0.55,26.5,1029.0,555.0
2023-12-17T08:43:00Z,Patricio,5.6,0.2,24.8,395.0,156.0
2023-12-23T10:10:00Z,Vicente Guerrero,5.64,0.22,24.1,450.0,224.0
2023-12-08T07:48:00Z,Remolino 1ra seccion,67.0,0.33,27.0,653.0,653.0
2023-12-04T09:40:00Z,Vicente Guerrero,5.4,0.27,26.4,574.0,276.0
2023-12-05T10:04:00Z,Catazaja,7.87,0.0,27.6,159.0,79.0
2023-12-02T15:30:00Z,Patricio,5.3,0.4,27.2,794.0,391.0
2023-11-24T10:12:00Z,Francisco j Grajales,7.31,0.19,27.2,337.0,170.0
2023-11-17T13:34:00Z,Patricio,6.1,0.28,27.0,5.14,286.0
2023-11-19T10:13:00Z,Vicente Guerrero,6.24,0.25,25.4,564.0,311.0
2023-11-02T17:29:00Z,Patricio,6.6,0.24,24.8,474.0,237.0
2023-11-04T10:24:00Z,Vicente Guerrero,6.1,0.25,25.9,484.0,247.0
2023-10-06T17:45:00Z,Catazaja,9.18,0.0,31.4,168.0,84.0
2023-10-18T18:00:00Z,Catazaja,7.58,0.0,28.8,113.0,54.0
2023-10-31T07:24:00Z,Remolino 1ra seccion,6.43,0.28,27.1,559.0,278.0
2023-10-18T07:17:00Z,Remolino 1ra seccion,6.89,0.46,27.0,910.0,459.0
2023-10-19T19:08:00Z,Patricio,5.93,0.45,28.1,761.0,453.0
2023-10-19T19:08:00Z,Patricio,5.93,0.45,28.1,761.0,453.0
2023-10-19T16:30:00Z,Vicente Guerrero,5.91,0.24,28.3,492.0,244.0
2023-10-17T01:45:00Z,Francisco j Grajales,7.33,0.0,37.2,397.0,201.0
2023-10-17T01:55:00Z,Francisco j Grajales,0.0,0.0,0.0,0.0,0.0
2023-10-03T10:00:00Z,Remolino 1ra seccion,6.26,0.05,31.0,387.0,
2023-10-02T16:04:00Z,Patricio,5.73,0.26,30.2,520.0,260.0
2023-10-04T19:00:00Z,Patricio,5.66,0.19,29.0,367.0,153.0
2023-10-04T12:25:00Z,Vicente Guerrero,5.54,0.18,30.0,373.0,177.0
2023-09-19T13:02:00Z,Vicente Guerrero,5.55,0.32,30.6,629.0,3.27
2023-09-04T15:25:00Z,Vicente Guerrero,5.24,0.0,31.0,0.0,0.0
2023-09-30T12:47:00Z,Vicente Guerrero,,,,,
2023-09-16T08:24:00Z,Remolino 1ra seccion,6.7,0.26,29.0,534.0,266.0
2023-09-01T07:47:00Z,Remolino 1ra seccion,6.48,0.51,30.0,540.0,508.0
2023-08-19T12:37:00Z,Vicente Guerrero,5.71,0.33,30.6,673.0,336.0
2023-08-17T19:03:00Z,Vicente Guerrero,,,,,
2023-07-09T11:20:00Z,Francisco j Grajales,7.35,0.51,30.3,1013.0,503.0
2023-06-24T04:11:00Z,Francisco j Grajales,7.1,0.51,29.5,1001.0,497.0
2023-06-30T17:00:00Z,Catazaja,9.68,0.0,30.01,170.0,85.0
2023-06-09T12:00:00Z,Francisco j Grajales,6.94,0.49,37.0,993.0,486.0
2023-06-23T10:01:00Z,Remolino 1ra seccion,6.21,0.67,37.2,1467.0,627.0
2023-06-19T15:40:00Z,Vicente Guerrero,05.04,0.52,34.0,1023.0,511.0
2023-05-31T16:05:00Z,Catazaja,9.56,0.0,33.0,170.0,85.0
